dimension,gpus,time_per_iteration,total_time,Mflops,Iterations,total_cg_time
120,1,0.00647817,6.28385,18072.7,200,1.29563
120,2,0.00585122,4.06742,20009.2,200,1.17024
120,3,0.00751572,3.7251,15577.7,200,1.50314
120,4,0.00801779,3.76483,14602.3,200,1.60356
120,5,0.0111323,4.81798,10517,200,2.22646
160,1,0.0104508,14.1684,26510.3,200,2.09016
160,2,0.00808732,8.09274,34257.7,200,1.61746
160,3,0.0116313,7.17134,23819.5,200,2.32627
160,4,0.0122715,6.43389,22576.9,200,2.45431
160,5,0.0167348,8.28857,16555.5,200,3.34697
200,1,0.0170403,28.2546,31723.4,200,3.40805
200,2,0.0120413,15.1265,44893.5,200,2.40825
200,3,0.0148843,12.2241,36318.5,200,2.97685
200,4,0.0145126,10.2672,37248.7,200,2.90252
240,1,0.0270265,48.1983,34539.6,200,5.4053
240,2,0.017579,25.1119,53102.4,200,3.51579
240,3,0.0194958,19.4419,47881.3,200,3.89917
240,4,0.017698,15.7394,52745.2,200,3.5396
280,2,0.0245869,41.086,60261,200,4.91738
280,2,0.0247786,40.9269,59794.7,200,4.95572
280,3,0.0262928,30.3243,56351.1,200,5.25856
280,4,0.0238528,24.1939,62115.5,200,4.77056
320,2,0.0344168,61.8284,64237.5,200,6.88336
320,3,0.0338478,45.1095,65317.3,200,6.76957
320,4,0.029842,35.1694,74085.1,200,5.9684
360,3,0.0440575,62.6753,71429.1,200,8.8115
360,4,0.0384819,48.4722,81778.5,200,7.69637
400,3,0.0569575,88.8991,75773.8,200,11.3915
400,4,0.0487657,64.8208,88502.6,200,9.75313
40,1,0.00595137,1.20515,740.221,130,0.773678
40,2,0.00776225,1.48191,567.533,130,1.00909
40,3,0.00674435,1.44963,653.188,130,0.876766
40,4,0.00737451,1.68921,597.373,130,0.958686
40,5,0.00701393,2.33555,626.575,200,1.40279
440,4,0.0652546,87.2827,5.68204e+14,200,13.0509
80,1,0.00459175,2.55215,7580.19,200,0.918351
80,2,0.00467034,2.04063,7452.65,200,0.934067
80,3,0.00528906,2.06597,6580.82,200,1.05781
80,4,0.00581231,2.17535,5988.39,200,1.16246
80,5,0.00816476,2.92863,4263,200,1.63295
