dimension,gpus,time_per_iteration,total_time,Mflops,Iterations,total_cg_time
240,1,0.0640152,115.797,14582.2,200,12.803
240,2,0.0372598,60.6749,25053.4,200,7.45196
240,3,0.0282982,42.36,32987.5,200,5.65964
240,4,0.0236637,33.11,39448.1,200,4.73273
240,5,0.021088,28.4141,44266.1,200,4.21761
240,6,0.0195611,24.7021,47721.6,200,3.91221
240,7,0.0190539,22.0663,48991.7,200,3.81079
240,8,0.0180036,20.1684,51849.9,200,3.60072
280,1,0.100043,190.203,14809.9,200,20.0087
320,2,0.0843124,149.667,26222.1,200,16.8625
320,3,0.0613227,102.384,36052.7,200,12.2645
320,4,0.0503013,76.8082,43952.1,200,10.0603
320,5,0.0436616,64.8965,50636,200,8.73232
320,6,0.0395903,57.8943,55843.2,200,7.91806
320,7,0.0367223,49.9398,60204.5,200,7.34446
320,8,0.0348172,46.4124,63498.7,200,6.96345
353,2,0.11142,204.611,26629.8,200,22.284
404,3,0.119073,206.531,37343.3,200,23.8146
445,4,0.128022,205.566,2.89621e+14,200,25.6044
479,5,0.136696,219.672,2.71244e+14,200,27.3391
509,6,0.143928,268.26,2.57614e+14,200,28.7857
520,5,0.171767,282.201,2.15862e+14,200,34.3534
520,6,0.152788,248.742,2.42676e+14,200,30.5575
520,7,0.139213,222.827,2.6634e+14,200,27.8426
520,8,0.129085,203.914,2.87238e+14,200,25.8169
536,7,0.151878,241.249,2.44131e+14,200,30.3755
560,8,0.159253,241.56,20113.3,200,31.8506
