dimension,gpus,time_per_iteration,total_time,Mflops,Iterations,total_cg_time
120,1,0.0181535,8.35623,6449.34,200,3.6307
120,2,0.028245,8.19323,4145.09,200,5.64899
120,3,0.0368624,9.22165,3176.09,200,7.37247
120,4,0.0466847,10.8163,2507.85,200,9.33693
160,1,0.0404512,19.8324,6849.06,200,8.09025
160,2,0.0475566,15.4974,5825.75,200,9.51132
160,3,0.0556107,15.4193,4982.01,200,11.1221
160,4,0.0649389,16.407,4266.36,200,12.9878
200,1,0.0777364,39.8524,6953.94,200,15.5473
200,2,0.0809979,27.9091,6673.94,200,16.1996
200,3,0.0879192,26.0438,6148.53,200,17.5838
200,4,0.0969776,26.1067,5574.22,200,19.3955
240,1,0.134705,69.1131,6929.84,200,26.941
240,2,0.130436,46.8888,7156.64,200,26.0872
240,3,0.136865,42.5659,6820.5,200,27.3729
240,4,0.145317,40.6034,6423.78,200,29.0634
280,2,0.203946,75.8647,7264.8,200,40.7893
280,2,0.20359,76.5561,7277.53,200,40.7179
280,3,0.205592,65.4444,7206.67,200,41.1183
280,4,0.213783,61.5523,6930.54,200,42.7566
320,2,0.298239,114.005,7413.01,200,59.6478
320,3,0.300567,97.8954,7355.59,200,60.1135
320,4,0.305361,88.6513,7240.11,200,61.0722
360,3,0.419596,137.441,7500.05,200,83.9192
360,4,0.42668,125.168,7375.53,200,85.3359
400,3,0.571595,191.894,7550.61,200,114.319
400,4,0.575016,169.413,7505.69,200,115.003
40,1,0.000794761,0.276802,5554.36,100,0.0794761
40,2,0.0149811,1.47834,294.923,91,1.36328
40,3,0.0251663,2.39027,175.564,91,2.29013
40,4,0.0358134,3.30605,123.396,89,3.18739
40,5,0.0464819,5.78246,94.8178,122,5.67079
440,4,0.760535,225,4.87525e+13,200,152.107
480,4,0.978633,290.7,3.78875e+13,200,195.727
80,1,0.00594866,2.60919,5851.13,200,1.18973
80,2,0.0182768,4.42455,1904.4,200,3.65536
80,3,0.0279713,6.16834,1244.36,200,5.59426
80,4,0.0378636,8.03725,919.258,200,7.57271
80,5,0.0494726,10.4685,703.549,200,9.89451
