dimension,gpus,time_per_iteration,total_time,Mflops,Iterations,total_cg_time
120,1,0.0054573,5.69524,21453.5,200,1.09146
120,2,0.00520183,3.70686,22507.1,200,1.04037
120,3,0.00592636,3.36313,19755.5,200,1.18527
120,4,0.00641631,3.2735,18247,200,1.28326
120,5,0.00939403,4.22503,12463,200,1.87881
160,1,0.00825552,12.8426,33559.7,200,1.6511
160,2,0.00683761,7.48974,40519,200,1.36752
160,3,0.00846626,6.25179,32724.4,200,1.69325
160,4,0.00889762,5.67622,31137.9,200,1.77952
160,5,0.0120143,7.08054,23060.2,200,2.40287
200,1,0.0120991,25.5178,44678.8,200,2.41982
200,2,0.00874524,13.3093,61813.6,200,1.74905
200,3,0.0122966,10.709,43961.3,200,2.45932
200,4,0.0128132,9.46537,42188.9,200,2.56264
200,5,0.0174303,11.5911,31013.5,200,3.48606
240,1,0.0182109,43.4488,51259.6,200,3.64218
240,2,0.0124765,22.4916,74819.6,200,2.4953
240,3,0.018158,18.2698,51409,200,3.63161
240,4,0.0177177,15.1031,52686.5,200,3.54355
240,5,0.0253256,20.4808,36859.4,200,5.06511
280,2,0.0167236,37.4379,88595,200,3.34472
280,2,0.0167681,38.1171,88360.3,200,3.35361
280,3,0.0196595,27.0301,75364.7,200,3.93189
280,4,0.0184783,21.2601,80182.3,200,3.69565
280,5,0.0331037,30.2375,44757.3,200,6.62073
320,2,0.0224973,56.2089,98272,200,4.49945
320,3,0.024186,41.1911,91410.1,200,4.83721
320,4,0.0220226,31.5623,100390,200,4.40451
320,5,0.0414441,44.8004,53345.3,200,8.28882
360,3,0.0310487,57.1751,101357,200,6.20973
360,4,0.0267511,43.2057,117640,200,5.35022
400,3,0.0376898,80.6544,114511,200,7.53796
400,4,0.0327464,58.0524,131797,200,6.54928
40,1,0.00917943,1.20455,481.716,84,0.771072
40,2,0.0103474,1.35035,427.29,85,0.879526
40,3,0.0104257,1.48541,424.029,86,0.896607
40,4,0.011701,1.70833,377.86,85,0.994582
40,5,0.01059,2.14342,416.153,123,1.30257
440,4,0.0408972,78.1781,9.06613e+14,200,8.17944
480,4,0.0517501,101.236,7.1648e+14,200,10.35
80,1,0.0048414,2.3724,7194.33,173,0.837562
80,2,0.00536962,1.9466,6487.2,170,0.912835
80,3,0.00558308,1.91374,6239.17,170,0.949124
80,4,0.0067372,2.19218,5170.37,170,1.14532
80,5,0.00745109,2.70691,4671.31,200,1.49022
