"API Call",Time
cudaFree,808.70ms
cudaMalloc,356.46ms
cudaMemcpy,26.645ms
cudaMallocManaged,20.576ms
cudaEventSynchronize,13.659ms
cudaDeviceSynchronize,5.7463ms
cudaMemcpy2D,4.6235ms
cuDeviceGetAttribute,995.13us
cudaLaunch,523.47us
cudaMallocPitch,359.52us
cudaEventRecord,286.64us
cuDeviceTotalMem,232.21us
cuDeviceGetName,111.33us
cudaEventCreate,104.81us
cudaEventElapsedTime,50.899us
cudaSetupArgument,47.037us
cudaBindTexture,41.343us
cudaCreateTextureObject,23.589us
cudaConfigureCall,17.794us
cudaUnbindTexture,11.927us
cudaDeviceGetAttribute,9.3040us
cudaGetLastError,8.5130us
cudaGetDevice,7.7810us
cuDeviceGetCount,3.1640us
cuInit,1.5680us
cuDeviceGet,1.5000us
cuDriverGetVersion,1.4800us
